Файл,Грузов,Объём (м³),Масса (кг),Рекомендуемый транспорт,Паллет (шт),Паллет (м³),Фургон (шт),Фургон (м³),Фура (шт),Фура (м³),Спец (шт),Спец (м³)
data_for_algoritm_15408.json,2,39.08,12744.0,Фура 13.6 м,0,0,1,28.34,1,10.74,0,0
data_for_algoritm_14870.json,3,24.58,21600.0,Спецтранспорт,0,0,0,0,3,24.58,0,0
data_for_algoritm_16259.json,7,33.3,1117.0,Фургон,6,2.3,1,31.0,0,0,0,0
data_for_algoritm_16098.json,6,57.16,303.5,Фура 13.6 м,0,0,5,53.29,1,3.87,0,0
data_for_algoritm_16017.json,10,67.94,4820.0,Фура 13.6 м,1,0.9,9,67.04,0,0,0,0
data_for_algoritm_15469.json,46,1.12,423.74,Европаллета,46,1.12,0,0,0,0,0,0
data_for_algoritm_15391.json,4,2.46,286.8,Фургон,2,0.88,2,1.59,0,0,0,0
data_for_algoritm_17224.json,3,12.77,5.72,Фургон,0,0,3,12.77,0,0,0,0
data_for_algoritm_15340.json,2,42.1,61400.0,Спецтранспорт,0,0,1,19.6,0,0,1,22.5
data_for_algoritm_17342.json,5,128.88,47.0,Спецтранспорт,0,0,3,44.08,2,84.8,0,0
data_for_algoritm_16889.json,1,56.96,20328.0,Спецтранспорт,0,0,0,0,0,0,1,56.96
data_for_algoritm_14948.json,4,2.05,344.8,Фургон,4,2.05,0,0,0,0,0,0
data_for_algoritm_14946.json,1,1.44,180.0,Европаллета,1,1.44,0,0,0,0,0,0
data_for_algoritm_15361.json,16,17.64,2574.6,Фургон,11,8.56,5,9.07,0,0,0,0
data_for_algoritm_15999.json,10,0.91,310.35,Фургон,5,0.42,5,0.5,0,0,0,0
